Tarea;Descripción;Tiempo Estimado;Costo;No Realizado
Repositorio;Crear repositorio de código y documentación;25 minutos;No aplica;
Artículo 1;Artículo sobre el proyecto;;No aplica;X
Artículo 2;Artículo sobre el equipo;;No aplica;X
Cartilla Grupo;Crear cartilla resumida del proyecto;;No aplica;X
Registro de Software;Iniciar proceso de registro de software;;Variable;X
Infografía;Crear infografía del diseño curricular;1 hora;No aplica;
Plan de Trabajo;Crear plan de trabajo en Trello o Excel;30 minutos;No aplica;
